nonaccredited_cnt,investment_cnt,accredited_sum,meal_cnt,research_rank,nonaccredited_rank,speaking_sum,education_cnt,honoraria_cnt,grant_rank,consulting_rank,grant_sum,honoraria_rank,investment_rank,general_rank,meal_rank,royalty_rank,travel_sum,grant_cnt,royalty_cnt,investment_sum,honoraria_sum,id,facility_sum,entertainment_rank,entertainment_sum,gift_cnt,travel_cnt,charitable_sum,accredited_cnt,speaking_rank,research_sum,travel_rank,charitable_cnt,drugs,meal_sum,accredited_rank,cleanname,gift_sum,speaking_cnt,royalty_sum,general_cnt,consulting_cnt,education_rank,research_cnt,education_sum,nonaccredited_sum,facility_cnt,gift_rank,devices,entertainment_cnt,general_sum,consulting_sum,charitable_rank,facility_rank
,,,,,,,,,,,,,,827,,,3762,,,,,1001,,,,,3,,,,,438,,{},,,.decimal,,,,3,,,,,,,,{},,3762,,,
1,,,2841,200,59,2968,1,82,,273,,17,,153,124,,100395,,,,313475,1002,,16,2444,5,98,,,328,185515,109,,{},105514,,3M Company,409,5,,3155,95,288,11,85,1500,,146,{},27,574317,47523,,
,,,1,,,649,,,,,,,,925,747,,,,,,,1003,,,,,,,,374,,,,{},132,,Aaren Scientific Inc.,,1,,2,,,,,,,,{},,782,,,
,,,1169,,,821,1,,,332,,,,487,236,,1620,,,,,1004,,,,,5,,,370,,513,,{},26134,,Abb Con Cise Optical Group LLC,,1,,1195,19,308,,12,,,,{},,58749,30161,,
,,7900,15845,34,,621576,122,,88,19,37300,,,43,36,34,487486,6,9,,,1005,83124,,,,1001,14203,4,53,6687673,40,2,{},681511,24,Abbott Laboratories,,192,736642,17581,363,13,1594,345304,,46,,{},,4079412,1801006,36,18
,,,97484,27,,6764966,1042,,33,13,215000,,,8,9,138,1094937,10,1,,,1006,92250,,,,4951,,,5,11784853,21,,{},2209327,,"AbbVie, Inc.",,3785,22050,108091,750,10,1233,502582,,69,,{},,13507264,2628200,,15
,,,,,,,,,,,,,,1003,,186,,,1,,,1007,,,,,,,,,,,,{},,,Abeon Medical Corporation,,,915,0,,,,,,,,{},,0,,,
,,,1293,164,,138750,7,,,342,,,,210,140,,57502,,,,,1008,16000,6,6762,,247,30000,,128,304522,155,2,{},81849,,Abiomed,,69,,1744,9,260,55,489,,2,,{},115,359729,28375,17,61
,,,50,,,,,,,337,,,,580,467,,,,,,,1009,,,,,,,,,,,,{},2604,,"Abl Medical, LLC",,,,64,14,,,,,,,{},,31870,29265,,
,,,699,373,,,1,,,,,,,671,282,,,,,,,1010,,,,,,,,,9123,,,{},15654,,"Access Closure, Inc.",,,,700,,268,7,400,,,,{},,16054,,,
,,,4428,239,,108240,,,116,125,15000,,,158,98,,64348,1,,,,1011,525,,,,194,,,140,115642,139,,{},161781,,"Acclarent, Inc.",,60,,4788,104,,28,,,1,,{},,546426,196531,,148
,,,80,105,,49905,1,1,,,,185,,437,387,,21516,,,,208,1012,,,,,19,,,179,808620,257,,{},5524,,Accuray Inc.orporated,,31,,132,,243,19,699,,,,{},,77854,,,
,,,52,,,,,,,523,,,,728,590,,,,,,,1013,,,,36,,,,,,,,{},885,,"Ace Surgical Supply Co., Inc.",6017,,,93,5,,,,,,86,{},,10903,4000,,
