nonaccredited_cnt,investment_cnt,accredited_sum,facility_cnt,meal_cnt,research_rank,nonaccredited_rank,speaking_sum,education_cnt,honoraria_cnt,grant_rank,consulting_rank,grant_sum,honoraria_rank,investment_rank,general_rank,meal_rank,royalty_rank,travel_sum,grant_cnt,royalty_cnt,investment_sum,honoraria_sum,id,facility_sum,entertainment_rank,entertainment_sum,gift_cnt,travel_cnt,drugname,charitable_sum,accredited_cnt,desc,speaking_rank,research_sum,travel_rank,charitable_cnt,categories,meal_sum,speaking_cnt,gift_sum,accredited_rank,royalty_sum,general_cnt,class,consulting_cnt,education_rank,research_cnt,total_sum,nonaccredited_sum,total_count,education_sum,companies,gift_rank,entertainment_cnt,url,general_sum,consulting_sum,charitable_rank,facility_rank
,,,20,6373,16,,977047,80,,,49,,,,43,112,1,377301,,5,,,5464,28750,,,,546,AVASTIN,,,"Treats cancer, including colorectal cancer, glioblastoma, and lung cancer.",36,9158990,14,,{},171055,444,,,16368613,7632,Immunological Agent,169,110,326,1873035,,7632,6217,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009284/?report=details,1873035,312664,,17
56,,,1,8321,2,23,16930,13,,,75,,,,143,121,,119142,,,,,5196,10000,,,,154,AFINITOR,,,"Treats cancer, including cancer of the kidneys, pancreas, breasts, and brain. Used with other medicines to keep your body from rejecting a transplanted kidney or liver.",301,20731143,77,,{},154607,7,,,,8596,Antineoplastic Agent,44,328,472,619030,117230,8596,80,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010240/?report=details,619030,201040,,51
56,,,1,8321,2,23,16930,13,,,75,,,,143,121,,119142,,,,,5196,10000,,,,154,AFINITOR,,,"Treats cancer, including cancer of the kidneys, pancreas, breasts, and brain. Used with other medicines to keep your body from rejecting a transplanted kidney or liver.",301,20731143,77,,{},154607,7,,,,8596,Immune Suppressant,44,328,472,619030,117230,8596,80,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010240/?report=details,619030,201040,,51
,,,,42173,6,,5473279,2954,,6,57,191728,,,4,8,,379438,14,,,,5690,,,,,1696,BRILINTA,,,"This medicine is a blood thinner that may help prevent stroke, heart attack, and other heart and blood vessel problems.",2,13383965,13,,{},1177347,2830,,,,49730,Platelet Aggregation Inhibitor,63,6,686,7713671,,49730,210223,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012413/?report=details,7713671,281656,,
,,,19,1839,35,,217866,18,,,172,,,,195,277,2,71870,,5,,,6994,14550,,,,109,HERCEPTIN,,,Treats breast cancer. Also treats malignant tumor of the stomach and esophagogastric (esophagus and stomach cancer.,133,4784206,123,,{},50986,94,,,14778923,2113,Immunological Agent,34,181,403,417997,,2113,1220,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012500/?report=details,417997,61504,,36
,,,,39361,8,,4261270,460,,,16,,,,6,9,,815039,,,,,7438,,,,,4332,LATUDA,,,Treats schizophrenia.,4,12570623,3,,{},1135598,2070,,,,46533,Antipsychotic,310,97,4391,7029556,,46533,9235,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011010/?report=details,7029556,808413,,
,,,,39361,8,,4261270,460,,,16,,,,6,9,,815039,,,,,7438,,,,,4332,LATUDA,,,Treats schizophrenia.,4,12570623,3,,{},1135598,2070,,,,46533,Central Nervous System Agent,310,97,4391,7029556,,46533,9235,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011010/?report=details,7029556,808413,,
,,,,29334,4,,1155100,2587,,60,,1416,,,50,46,,122878,2,,,,9720,,,,,817,VIIBRYD,1250,,Treats depression.,31,14282566,71,5,{},410348,908,,,,33653,Antidepressant,,139,644,1694134,,33653,3140,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012635/?report=details,1694134,,12,
,,,,2000,273,,349089,89,,,56,,,,98,136,3,155206,,5,,,7523,,,,,214,LUCENTIS,,,"Treats wet age-related macular degeneration, macular edema caused by a blocked blood vessel in the eye, and diabetic macular edema.",96,303895,49,,{},135147,124,,,14727899,2535,Ophthalmologic Agent,108,100,14,932659,,2535,7596,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014354/?report=details,932659,285619,,
,,,3,1102,5,,197200,30,,,116,,,,180,230,,94104,,,,,8700,2200,,,,351,REYATAZ,,,"Treats HIV infection. HIV causes AIDS. This medicine does not cure HIV or AIDS, but may help slow the progress of the disease.",139,14209263,105,,{},70874,136,,,,1709,Antiretroviral Agent,87,320,39,472833,,1709,96,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009133/?report=details,472833,108358,,115
,,,3,1102,5,,197200,30,,,116,,,,180,230,,94104,,,,,8700,2200,,,,351,REYATAZ,,,"Treats HIV infection. HIV causes AIDS. This medicine does not cure HIV or AIDS, but may help slow the progress of the disease.",139,14209263,105,,{},70874,136,,,,1709,Antiviral,87,320,39,472833,,1709,96,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009133/?report=details,472833,108358,,115
,,,1,8071,9,,681069,224,,,20,,,,51,98,,152478,,,,,9824,250,,,,661,XELJANZ,,,Treats rheumatoid arthritis.,49,12107558,52,,{},176818,393,,,,9610,Antirheumatic,260,166,2511,1681813,,9610,1621,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014617/?report=details,1681813,669575,,164
,,,1,8071,9,,681069,224,,,20,,,,51,98,,152478,,,,,9824,250,,,,661,XELJANZ,,,Treats rheumatoid arthritis.,49,12107558,52,,{},176818,393,,,,9610,Musculoskeletal Agent,260,166,2511,1681813,,9610,1621,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014617/?report=details,1681813,669575,,164
,,,28,114439,41,,4759510,995,,,15,,,,2,2,,1286907,,,,,9710,22450,,,,2874,VICTOZA,,,Treats type 2 diabetes.,3,4061326,2,,{},2166012,2175,,,,120677,Antidiabetic,166,73,598,9067134,,120677,16086,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010964/?report=details,9067134,816167,,25
,,,29,4583,12,,1313614,267,,,90,,,,42,122,,207830,,,,,9660,31150,,,,523,VELCADE,,,Treats multiple myeloma and mantle cell lymphoma.,22,10688805,35,,{},150322,434,,,,5904,Antineoplastic Agent,68,71,387,1873270,,5904,16184,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009314/?report=details,1873270,154168,,13
,,,,838,10,,,,,,117,,,,326,429,,36937,,,,,6859,,,,,76,GLEEVEC,,,"Treats certain types of leukemia. Also treats gastrointestinal stromal tumor (GIST), myelodysplastic syndrome (MDS) or myeloproliferative disease (MPD), aggressive systemic mastocytosis (ASM), hypereosinophilic syndrome (HES), and dermatofibrosarcoma protuberans (DFSP).",,11561674,206,,{},16749,,,,,937,Antineoplastic Agent,23,,32,161006,,937,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010674/?report=details,161006,107320,,
,,,,838,10,,,,,,117,,,,326,429,,36937,,,,,6859,,,,,76,GLEEVEC,,,"Treats certain types of leukemia. Also treats gastrointestinal stromal tumor (GIST), myelodysplastic syndrome (MDS) or myeloproliferative disease (MPD), aggressive systemic mastocytosis (ASM), hypereosinophilic syndrome (HES), and dermatofibrosarcoma protuberans (DFSP).",,11561674,206,,{},16749,,,,,937,Immunological Agent,23,,32,161006,,937,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010674/?report=details,161006,107320,,
0,0,0,33,38009,24,87,3022537,885,0,69,12,0,142,6,8,19,44,526045,0,0,0,0,7040,48900,6,0,0,2212,HUMIRA,,0,"Treats arthritis, plaque psoriasis, ankylosing spondylitis, Crohn disease, and ulcerative colitis.",10,5919615,6,,{},869667,1411,0,8,0,42829,Antirheumatic,279,42,1077,5578848,0,42829,37656,{},54,0,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008825/?report=details,5578848,1074040,23,5
,,,26,5376,11,,187500,7,,,130,,,,173,146,,52193,,,,,7465,37100,,,,136,LEXISCAN,,,Used for a heart stress test.,141,10984324,168,,{},126859,101,,,,5664,Diagnostic Agent,18,259,256,493382,,5664,259,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011958/?report=details,493382,89470,,9
,,,26,5376,11,,187500,7,,,130,,,,173,146,,52193,,,,,7465,37100,,,,136,LEXISCAN,,,Used for a heart stress test.,141,10984324,168,,{},126859,101,,,,5664,Cardiac Function,18,259,256,493382,,5664,259,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011958/?report=details,493382,89470,,9
,,,2,1975,13,,,16,,,201,,,,360,335,,34964,,,,,9283,10000,,,,62,TASIGNA,,,"Treats cancer, including leukemia.",,10456012,216,,{},33880,,,,,2065,Antineoplastic Agent,10,332,146,127275,,2065,77,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011413/?report=details,127275,48353,,51
